region	chr	midPos	Nsites
(121793,122292)(121800,122299)(121800,122300)	Mt	122050	501	0.054020
(121893,122392)(121900,122399)(121900,122400)	Mt	122150	501	0.053934
(121993,122492)(122000,122499)(122000,122500)	Mt	122250	501	0.052823
(122093,122592)(122100,122599)(122100,122600)	Mt	122350	501	0.051223
(122193,122692)(122200,122699)(122200,122700)	Mt	122450	501	0.052798
(122293,122792)(122300,122799)(122300,122800)	Mt	122550	501	0.053142
(122393,122892)(122400,122899)(122400,122900)	Mt	122650	501	0.056075
(122493,122992)(122500,122999)(122500,123000)	Mt	122750	501	0.056704
(122593,123092)(122600,123099)(122600,123100)	Mt	122850	501	0.057179
(122693,123192)(122700,123199)(122700,123200)	Mt	122950	501	0.058174
(122793,123292)(122800,123299)(122800,123300)	Mt	123050	501	0.056439
(122893,123392)(122900,123399)(122900,123400)	Mt	123150	501	0.054418
(122993,123492)(123000,123499)(123000,123500)	Mt	123250	501	0.053636
(123093,123592)(123100,123599)(123100,123600)	Mt	123350	501	0.057423
(123193,123692)(123200,123699)(123200,123700)	Mt	123450	501	0.053795
(123293,123792)(123300,123799)(123300,123800)	Mt	123550	501	0.054980
(123393,123892)(123400,123899)(123400,123900)	Mt	123650	501	0.059713
(123493,123992)(123500,123999)(123500,124000)	Mt	123750	501	0.059890
(123593,124092)(123600,124099)(123600,124100)	Mt	123850	501	0.056194
(123693,124192)(123700,124199)(123700,124200)	Mt	123950	501	0.057299
(123793,124292)(123800,124299)(123800,124300)	Mt	124050	501	0.056196
(123893,124392)(123900,124399)(123900,124400)	Mt	124150	501	0.048676
(123993,124492)(124000,124499)(124000,124500)	Mt	124250	501	0.055702
(124093,124592)(124100,124599)(124100,124600)	Mt	124350	501	0.055363
(124193,124692)(124200,124699)(124200,124700)	Mt	124450	501	0.054274
(124293,124792)(124300,124799)(124300,124800)	Mt	124550	501	0.055523
(124393,124892)(124400,124899)(124400,124900)	Mt	124650	501	0.055903
(124493,124992)(124500,124999)(124500,125000)	Mt	124750	501	0.048988
(124593,125092)(124600,125099)(124600,125100)	Mt	124850	501	0.051117
(124693,125192)(124700,125199)(124700,125200)	Mt	124950	501	0.053546
(124793,125292)(124800,125299)(124800,125300)	Mt	125050	501	0.055136
(124893,125392)(124900,125399)(124900,125400)	Mt	125150	501	0.057277
(124993,125492)(125000,125499)(125000,125500)	Mt	125250	501	0.057792
(125093,125592)(125100,125599)(125100,125600)	Mt	125350	501	0.058833
(125193,125692)(125200,125699)(125200,125700)	Mt	125450	501	0.057842
(125293,125792)(125300,125799)(125300,125800)	Mt	125550	501	0.057242
(125393,125892)(125400,125899)(125400,125900)	Mt	125650	501	0.054482
(125493,125992)(125500,125999)(125500,126000)	Mt	125750	501	0.053956
(125593,126092)(125600,126099)(125600,126100)	Mt	125850	501	0.050462
(125693,126192)(125700,126199)(125700,126200)	Mt	125950	501	0.049849
(125793,126292)(125800,126299)(125800,126300)	Mt	126050	501	0.046446
(125893,126392)(125900,126399)(125900,126400)	Mt	126150	501	0.048762
(125993,126492)(126000,126499)(126000,126500)	Mt	126250	501	0.049700
(126093,126592)(126100,126599)(126100,126600)	Mt	126350	501	0.049904
(126193,126692)(126200,126699)(126200,126700)	Mt	126450	501	0.056348
(126293,126792)(126300,126799)(126300,126800)	Mt	126550	501	0.055758
(126393,126892)(126400,126899)(126400,126900)	Mt	126650	501	0.057030
(126493,126992)(126500,126999)(126500,127000)	Mt	126750	501	0.058847
(126593,127092)(126600,127099)(126600,127100)	Mt	126850	501	0.059089
(126693,127192)(126700,127199)(126700,127200)	Mt	126950	501	0.055397
(126793,127292)(126800,127299)(126800,127300)	Mt	127050	501	0.055722
(126893,127392)(126900,127399)(126900,127400)	Mt	127150	501	0.053131
(126993,127492)(127000,127499)(127000,127500)	Mt	127250	501	0.050827
(127093,127592)(127100,127599)(127100,127600)	Mt	127350	501	0.053899
(127193,127692)(127200,127699)(127200,127700)	Mt	127450	501	0.052765
(127293,127792)(127300,127799)(127300,127800)	Mt	127550	501	0.054855
(127393,127892)(127400,127899)(127400,127900)	Mt	127650	501	0.056248
(127493,127992)(127500,127999)(127500,128000)	Mt	127750	501	0.058267
(127593,128092)(127600,128099)(127600,128100)	Mt	127850	501	0.057960
(127693,128192)(127700,128199)(127700,128200)	Mt	127950	501	0.057801
(127793,128292)(127800,128299)(127800,128300)	Mt	128050	501	0.057544
(127893,128392)(127900,128399)(127900,128400)	Mt	128150	501	0.057144
(127993,128492)(128000,128499)(128000,128500)	Mt	128250	501	0.054160
(128093,128592)(128100,128599)(128100,128600)	Mt	128350	501	0.051088
(128193,128692)(128200,128699)(128200,128700)	Mt	128450	501	0.052833
(128293,128792)(128300,128799)(128300,128800)	Mt	128550	501	0.051268
(128393,128892)(128400,128899)(128400,128900)	Mt	128650	501	0.050023
(128493,128992)(128500,128999)(128500,129000)	Mt	128750	501	0.050099
(128593,129092)(128600,129099)(128600,129100)	Mt	128850	501	0.050061
(128693,129192)(128700,129199)(128700,129200)	Mt	128950	501	0.050126
(128793,129292)(128800,129299)(128800,129300)	Mt	129050	501	0.053981
(128893,129392)(128900,129399)(128900,129400)	Mt	129150	501	0.054711
(128993,129492)(129000,129499)(129000,129500)	Mt	129250	501	0.054318
(129093,129592)(129100,129599)(129100,129600)	Mt	129350	501	0.054464
(129193,129692)(129200,129699)(129200,129700)	Mt	129450	501	0.052717
(129293,129792)(129300,129799)(129300,129800)	Mt	129550	501	0.049197
(129393,129892)(129400,129899)(129400,129900)	Mt	129650	501	0.047582
(129493,129992)(129500,129999)(129500,130000)	Mt	129750	501	0.040271
(129593,130092)(129600,130099)(129600,130100)	Mt	129850	501	0.026229
(129693,130192)(129700,130199)(129700,130200)	Mt	129950	501	0.023446
(129793,130292)(129800,130299)(129800,130300)	Mt	130050	501	0.022381
(129893,130392)(129900,130399)(129900,130400)	Mt	130150	501	0.023764
(129993,130492)(130000,130499)(130000,130500)	Mt	130250	501	0.025323
(130093,130592)(130100,130599)(130100,130600)	Mt	130350	501	0.027387
(130193,130692)(130200,130699)(130200,130700)	Mt	130450	501	0.028051
(130293,130792)(130300,130799)(130300,130800)	Mt	130550	501	0.027992
(130393,130892)(130400,130899)(130400,130900)	Mt	130650	501	0.025194
(130493,130992)(130500,130999)(130500,131000)	Mt	130750	501	0.022623
(130593,131092)(130600,131099)(130600,131100)	Mt	130850	501	0.019176
(130693,131192)(130700,131199)(130700,131200)	Mt	130950	501	0.018979
(130793,131292)(130800,131299)(130800,131300)	Mt	131050	501	0.022207
(130893,131392)(130900,131399)(130900,131400)	Mt	131150	501	0.024450
(130993,131492)(131000,131499)(131000,131500)	Mt	131250	501	0.024329
(131093,131592)(131100,131599)(131100,131600)	Mt	131350	501	0.026467
(131193,131692)(131200,131699)(131200,131700)	Mt	131450	501	0.026975
(131293,131792)(131300,131799)(131300,131800)	Mt	131550	501	0.026121
(131393,131892)(131400,131899)(131400,131900)	Mt	131650	501	0.027992
(131493,131992)(131500,131999)(131500,132000)	Mt	131750	501	0.031671
(131593,132092)(131600,132099)(131600,132100)	Mt	131850	501	0.032591
(131693,132192)(131700,132199)(131700,132200)	Mt	131950	501	0.031818
(131793,132292)(131800,132299)(131800,132300)	Mt	132050	501	0.029915
(131893,132392)(131900,132399)(131900,132400)	Mt	132150	501	0.029304
(131993,132492)(132000,132499)(132000,132500)	Mt	132250	501	0.029637
(132093,132592)(132100,132599)(132100,132600)	Mt	132350	501	0.027056
(132193,132692)(132200,132699)(132200,132700)	Mt	132450	501	0.029533
(132293,132792)(132300,132799)(132300,132800)	Mt	132550	501	0.030686
(132393,132892)(132400,132899)(132400,132900)	Mt	132650	501	0.030269
(132493,132992)(132500,132999)(132500,133000)	Mt	132750	501	0.026970
(132593,133092)(132600,133099)(132600,133100)	Mt	132850	501	0.029938
(132693,133192)(132700,133199)(132700,133200)	Mt	132950	501	0.028073
(132793,133292)(132800,133299)(132800,133300)	Mt	133050	501	0.027479
(132893,133392)(132900,133399)(132900,133400)	Mt	133150	501	0.026295
(132993,133492)(133000,133499)(133000,133500)	Mt	133250	501	0.025036
(133093,133592)(133100,133599)(133100,133600)	Mt	133350	501	0.022986
(133193,133692)(133200,133699)(133200,133700)	Mt	133450	501	0.023047
(133293,133792)(133300,133799)(133300,133800)	Mt	133550	501	0.022681
(133393,133892)(133400,133899)(133400,133900)	Mt	133650	501	0.019982
(133493,133992)(133500,133999)(133500,134000)	Mt	133750	501	0.022545
(133593,134092)(133600,134099)(133600,134100)	Mt	133850	501	0.021713
(133693,134192)(133700,134199)(133700,134200)	Mt	133950	501	0.022786
(133793,134292)(133800,134299)(133800,134300)	Mt	134050	501	0.023576
(133893,134392)(133900,134399)(133900,134400)	Mt	134150	501	0.025880
(133993,134492)(134000,134499)(134000,134500)	Mt	134250	501	0.026333
(134093,134592)(134100,134599)(134100,134600)	Mt	134350	501	0.030347
(134193,134692)(134200,134699)(134200,134700)	Mt	134450	501	0.029156
(134293,134792)(134300,134799)(134300,134800)	Mt	134550	501	0.031303
(134393,134892)(134400,134899)(134400,134900)	Mt	134650	501	0.034446
(134493,134992)(134500,134999)(134500,135000)	Mt	134750	501	0.032085
(134593,135092)(134600,135099)(134600,135100)	Mt	134850	501	0.031542
(134693,135192)(134700,135199)(134700,135200)	Mt	134950	501	0.031864
(134793,135292)(134800,135299)(134800,135300)	Mt	135050	501	0.028494
(134893,135392)(134900,135399)(134900,135400)	Mt	135150	501	0.025414
(134993,135492)(135000,135499)(135000,135500)	Mt	135250	501	0.026469
(135093,135592)(135100,135599)(135100,135600)	Mt	135350	501	0.026936
(135193,135692)(135200,135699)(135200,135700)	Mt	135450	501	0.029830
(135293,135792)(135300,135799)(135300,135800)	Mt	135550	501	0.030869
(135393,135892)(135400,135899)(135400,135900)	Mt	135650	501	0.030789
(135493,135992)(135500,135999)(135500,136000)	Mt	135750	501	0.029721
(135593,136092)(135600,136099)(135600,136100)	Mt	135850	501	0.028219
(135693,136192)(135700,136199)(135700,136200)	Mt	135950	501	0.025446
(135793,136292)(135800,136299)(135800,136300)	Mt	136050	501	0.024105
(135893,136392)(135900,136399)(135900,136400)	Mt	136150	501	0.026701
(135993,136492)(136000,136499)(136000,136500)	Mt	136250	501	0.027377
(136093,136592)(136100,136599)(136100,136600)	Mt	136350	501	0.026090
(136193,136692)(136200,136699)(136200,136700)	Mt	136450	501	0.025258
(136293,136792)(136300,136799)(136300,136800)	Mt	136550	501	0.024609
(136393,136892)(136400,136899)(136400,136900)	Mt	136650	501	0.021703
(136493,136992)(136500,136999)(136500,137000)	Mt	136750	501	0.023261
(136593,137092)(136600,137099)(136600,137100)	Mt	136850	501	0.023574
(136693,137192)(136700,137199)(136700,137200)	Mt	136950	501	0.025601
(136793,137292)(136800,137299)(136800,137300)	Mt	137050	501	0.027591
(136893,137392)(136900,137399)(136900,137400)	Mt	137150	501	0.028114
(136993,137492)(137000,137499)(137000,137500)	Mt	137250	501	0.024267
(137093,137592)(137100,137599)(137100,137600)	Mt	137350	501	0.023540
(137193,137692)(137200,137699)(137200,137700)	Mt	137450	501	0.024998
(137293,137792)(137300,137799)(137300,137800)	Mt	137550	501	0.023343
(137393,137892)(137400,137899)(137400,137900)	Mt	137650	501	0.027787
(137493,137992)(137500,137999)(137500,138000)	Mt	137750	501	0.033523
(137593,138092)(137600,138099)(137600,138100)	Mt	137850	501	0.032949
(137693,138192)(137700,138199)(137700,138200)	Mt	137950	501	0.027936
(137793,138292)(137800,138299)(137800,138300)	Mt	138050	501	0.029408
(137893,138392)(137900,138399)(137900,138400)	Mt	138150	501	0.027562
(137993,138492)(138000,138499)(138000,138500)	Mt	138250	501	0.022193
(138093,138592)(138100,138599)(138100,138600)	Mt	138350	501	0.024889
(138193,138692)(138200,138699)(138200,138700)	Mt	138450	501	0.026191
(138293,138792)(138300,138799)(138300,138800)	Mt	138550	501	0.025176
(138393,138892)(138400,138899)(138400,138900)	Mt	138650	501	0.022632
(138493,138992)(138500,138999)(138500,139000)	Mt	138750	501	0.023296
(138593,139092)(138600,139099)(138600,139100)	Mt	138850	501	0.020929
(138693,139192)(138700,139199)(138700,139200)	Mt	138950	501	0.022176
(138793,139292)(138800,139299)(138800,139300)	Mt	139050	501	0.025661
(138893,139392)(138900,139399)(138900,139400)	Mt	139150	501	0.027797
(138993,139492)(139000,139499)(139000,139500)	Mt	139250	501	0.031042
(139093,139592)(139100,139599)(139100,139600)	Mt	139350	501	0.033604
(139193,139692)(139200,139699)(139200,139700)	Mt	139450	501	0.032268
(139293,139792)(139300,139799)(139300,139800)	Mt	139550	501	0.030109
(139393,139892)(139400,139899)(139400,139900)	Mt	139650	501	0.029596
(139493,139992)(139500,139999)(139500,140000)	Mt	139750	501	0.027859
(139593,140092)(139600,140099)(139600,140100)	Mt	139850	501	0.024980
(139693,140192)(139700,140199)(139700,140200)	Mt	139950	501	0.026833
(139793,140292)(139800,140299)(139800,140300)	Mt	140050	501	0.027369
(139893,140392)(139900,140399)(139900,140400)	Mt	140150	501	0.026227
(139993,140492)(140000,140499)(140000,140500)	Mt	140250	501	0.026824
(140093,140592)(140100,140599)(140100,140600)	Mt	140350	501	0.027064
(140193,140692)(140200,140699)(140200,140700)	Mt	140450	501	0.025423
(140293,140792)(140300,140799)(140300,140800)	Mt	140550	501	0.025238
(140393,140892)(140400,140899)(140400,140900)	Mt	140650	501	0.024180
(140493,140992)(140500,140999)(140500,141000)	Mt	140750	501	0.022077
(140593,141092)(140600,141099)(140600,141100)	Mt	140850	501	0.020471
(140693,141192)(140700,141199)(140700,141200)	Mt	140950	501	0.023023
(140793,141292)(140800,141299)(140800,141300)	Mt	141050	501	0.022000
(140893,141392)(140900,141399)(140900,141400)	Mt	141150	501	0.024612
(140993,141492)(141000,141499)(141000,141500)	Mt	141250	501	0.027700
(141093,141592)(141100,141599)(141100,141600)	Mt	141350	501	0.030939
(141193,141692)(141200,141699)(141200,141700)	Mt	141450	501	0.029345
(141293,141792)(141300,141799)(141300,141800)	Mt	141550	501	0.029132
(141393,141892)(141400,141899)(141400,141900)	Mt	141650	501	0.030615
(141493,141992)(141500,141999)(141500,142000)	Mt	141750	501	0.029538
(141593,142092)(141600,142099)(141600,142100)	Mt	141850	501	0.027909
(141693,142192)(141700,142199)(141700,142200)	Mt	141950	501	0.028290
(141793,142292)(141800,142299)(141800,142300)	Mt	142050	501	0.032342
(141893,142392)(141900,142399)(141900,142400)	Mt	142150	501	0.028922
(141993,142492)(142000,142499)(142000,142500)	Mt	142250	501	0.028920
(142093,142592)(142100,142599)(142100,142600)	Mt	142350	501	0.029061
(142193,142692)(142200,142699)(142200,142700)	Mt	142450	501	0.028148
(142293,142792)(142300,142799)(142300,142800)	Mt	142550	501	0.026812
(142393,142892)(142400,142899)(142400,142900)	Mt	142650	501	0.029534
(142493,142992)(142500,142999)(142500,143000)	Mt	142750	501	0.029983
(142593,143092)(142600,143099)(142600,143100)	Mt	142850	501	0.031578
(142693,143192)(142700,143199)(142700,143200)	Mt	142950	501	0.031946
(142793,143292)(142800,143299)(142800,143300)	Mt	143050	501	0.028123
(142893,143392)(142900,143399)(142900,143400)	Mt	143150	501	0.026492
(142993,143492)(143000,143499)(143000,143500)	Mt	143250	501	0.025795
(143093,143592)(143100,143599)(143100,143600)	Mt	143350	501	0.023855
(143193,143692)(143200,143699)(143200,143700)	Mt	143450	501	0.023181
(143293,143792)(143300,143799)(143300,143800)	Mt	143550	501	0.026182
(143393,143892)(143400,143899)(143400,143900)	Mt	143650	501	0.024487
(143493,143992)(143500,143999)(143500,144000)	Mt	143750	501	0.026145
(143593,144092)(143600,144099)(143600,144100)	Mt	143850	501	0.025498
(143693,144192)(143700,144199)(143700,144200)	Mt	143950	501	0.025294
(143793,144292)(143800,144299)(143800,144300)	Mt	144050	501	0.023650
(143893,144392)(143900,144399)(143900,144400)	Mt	144150	501	0.024060
(143993,144492)(144000,144499)(144000,144500)	Mt	144250	501	0.022901
(144093,144592)(144100,144599)(144100,144600)	Mt	144350	501	0.023444
(144193,144692)(144200,144699)(144200,144700)	Mt	144450	501	0.023204
(144293,144792)(144300,144799)(144300,144800)	Mt	144550	501	0.024893
(144393,144892)(144400,144899)(144400,144900)	Mt	144650	501	0.023881
(144493,144992)(144500,144999)(144500,145000)	Mt	144750	501	0.024818
(144593,145092)(144600,145099)(144600,145100)	Mt	144850	501	0.024073
(144693,145192)(144700,145199)(144700,145200)	Mt	144950	501	0.024029
(144793,145292)(144800,145299)(144800,145300)	Mt	145050	501	0.021440
(144893,145392)(144900,145399)(144900,145400)	Mt	145150	501	0.022999
(144993,145492)(145000,145499)(145000,145500)	Mt	145250	501	0.024268
(145093,145592)(145100,145599)(145100,145600)	Mt	145350	501	0.022324
(145193,145692)(145200,145699)(145200,145700)	Mt	145450	501	0.022184
(145293,145792)(145300,145799)(145300,145800)	Mt	145550	501	0.022402
(145393,145892)(145400,145899)(145400,145900)	Mt	145650	501	0.020112
(145493,145992)(145500,145999)(145500,146000)	Mt	145750	501	0.017153
(145593,146092)(145600,146099)(145600,146100)	Mt	145850	501	0.023340
(145693,146192)(145700,146199)(145700,146200)	Mt	145950	501	0.024328
(145793,146292)(145800,146299)(145800,146300)	Mt	146050	501	0.024127
(145893,146392)(145900,146399)(145900,146400)	Mt	146150	501	0.026993
(145993,146492)(146000,146499)(146000,146500)	Mt	146250	501	0.026561
(146093,146592)(146100,146599)(146100,146600)	Mt	146350	501	0.022990
(146193,146692)(146200,146699)(146200,146700)	Mt	146450	501	0.023524
(146293,146792)(146300,146799)(146300,146800)	Mt	146550	501	0.025638
(146393,146892)(146400,146899)(146400,146900)	Mt	146650	501	0.026085
(146493,146992)(146500,146999)(146500,147000)	Mt	146750	501	0.025207
(146593,147092)(146600,147099)(146600,147100)	Mt	146850	501	0.026645
(146693,147192)(146700,147199)(146700,147200)	Mt	146950	501	0.023680
(146793,147292)(146800,147299)(146800,147300)	Mt	147050	501	0.022287
(146893,147392)(146900,147399)(146900,147400)	Mt	147150	501	0.020599
(146993,147492)(147000,147499)(147000,147500)	Mt	147250	501	0.022854
(147093,147592)(147100,147599)(147100,147600)	Mt	147350	501	0.021955
(147193,147692)(147200,147699)(147200,147700)	Mt	147450	501	0.020865
(147293,147792)(147300,147799)(147300,147800)	Mt	147550	501	0.021442
(147393,147892)(147400,147899)(147400,147900)	Mt	147650	501	0.024597
(147493,147992)(147500,147999)(147500,148000)	Mt	147750	501	0.023496
(147593,148092)(147600,148099)(147600,148100)	Mt	147850	501	0.026277
(147693,148192)(147700,148199)(147700,148200)	Mt	147950	501	0.027453
(147793,148292)(147800,148299)(147800,148300)	Mt	148050	501	0.027638
(147893,148392)(147900,148399)(147900,148400)	Mt	148150	501	0.024746
(147993,148492)(148000,148499)(148000,148500)	Mt	148250	501	0.025618
(148093,148592)(148100,148599)(148100,148600)	Mt	148350	501	0.022004
(148193,148692)(148200,148699)(148200,148700)	Mt	148450	501	0.022799
(148293,148792)(148300,148799)(148300,148800)	Mt	148550	501	0.020212
(148393,148892)(148400,148899)(148400,148900)	Mt	148650	501	0.022675
(148493,148992)(148500,148999)(148500,149000)	Mt	148750	501	0.024099
(148593,149092)(148600,149099)(148600,149100)	Mt	148850	501	0.024636
(148693,149192)(148700,149199)(148700,149200)	Mt	148950	501	0.027174
(148793,149292)(148800,149299)(148800,149300)	Mt	149050	501	0.030457
(148893,149392)(148900,149399)(148900,149400)	Mt	149150	501	0.029515
(148993,149492)(149000,149499)(149000,149500)	Mt	149250	501	0.026503
(149093,149592)(149100,149599)(149100,149600)	Mt	149350	501	0.027795
(149193,149692)(149200,149699)(149200,149700)	Mt	149450	501	0.026602
(149293,149792)(149300,149799)(149300,149800)	Mt	149550	501	0.026825
(149393,149892)(149400,149899)(149400,149900)	Mt	149650	501	0.024453
(149493,149992)(149500,149999)(149500,150000)	Mt	149750	501	0.027756
(149593,150092)(149600,150099)(149600,150100)	Mt	149850	501	0.027218
(149693,150192)(149700,150199)(149700,150200)	Mt	149950	501	0.026623
(149793,150292)(149800,150299)(149800,150300)	Mt	150050	501	0.023614
(149893,150392)(149900,150399)(149900,150400)	Mt	150150	501	0.023633
(149993,150492)(150000,150499)(150000,150500)	Mt	150250	501	0.019866
(150093,150592)(150100,150599)(150100,150600)	Mt	150350	501	0.020997
(150193,150692)(150200,150699)(150200,150700)	Mt	150450	501	0.022131
(150293,150792)(150300,150799)(150300,150800)	Mt	150550	501	0.022726
(150393,150892)(150400,150899)(150400,150900)	Mt	150650	501	0.025616
(150493,150992)(150500,150999)(150500,151000)	Mt	150750	501	0.028045
(150593,151092)(150600,151099)(150600,151100)	Mt	150850	501	0.023933
(150693,151192)(150700,151199)(150700,151200)	Mt	150950	501	0.026084
(150793,151292)(150800,151299)(150800,151300)	Mt	151050	501	0.029084
(150893,151392)(150900,151399)(150900,151400)	Mt	151150	501	0.028519
(150993,151492)(151000,151499)(151000,151500)	Mt	151250	501	0.030689
(151093,151592)(151100,151599)(151100,151600)	Mt	151350	501	0.031533
(151193,151692)(151200,151699)(151200,151700)	Mt	151450	501	0.029926
(151293,151792)(151300,151799)(151300,151800)	Mt	151550	501	0.027943
(151393,151892)(151400,151899)(151400,151900)	Mt	151650	501	0.024508
(151493,151992)(151500,151999)(151500,152000)	Mt	151750	501	0.019847
(151593,152092)(151600,152099)(151600,152100)	Mt	151850	501	0.020896
(151693,152192)(151700,152199)(151700,152200)	Mt	151950	501	0.020184
(151793,152292)(151800,152299)(151800,152300)	Mt	152050	501	0.018701
(151893,152392)(151900,152399)(151900,152400)	Mt	152150	501	0.021471
(151993,152492)(152000,152499)(152000,152500)	Mt	152250	501	0.024517
(152093,152592)(152100,152599)(152100,152600)	Mt	152350	501	0.024781
(152193,152692)(152200,152699)(152200,152700)	Mt	152450	501	0.022718
(152293,152792)(152300,152799)(152300,152800)	Mt	152550	501	0.026976
(152393,152892)(152400,152899)(152400,152900)	Mt	152650	501	0.025302
(152493,152992)(152500,152999)(152500,153000)	Mt	152750	501	0.023410
(152593,153092)(152600,153099)(152600,153100)	Mt	152850	501	0.023131
(152693,153192)(152700,153199)(152700,153200)	Mt	152950	501	0.026177
(152793,153292)(152800,153299)(152800,153300)	Mt	153050	501	0.024014
(152893,153392)(152900,153399)(152900,153400)	Mt	153150	501	0.025807
(152993,153492)(153000,153499)(153000,153500)	Mt	153250	501	0.027924
(153093,153592)(153100,153599)(153100,153600)	Mt	153350	501	0.028528
(153193,153692)(153200,153699)(153200,153700)	Mt	153450	501	0.026544
(153293,153792)(153300,153799)(153300,153800)	Mt	153550	501	0.025127
(153393,153892)(153400,153899)(153400,153900)	Mt	153650	501	0.025557
(153493,153992)(153500,153999)(153500,154000)	Mt	153750	501	0.022908
(153593,154092)(153600,154099)(153600,154100)	Mt	153850	501	0.024190
(153693,154192)(153700,154199)(153700,154200)	Mt	153950	501	0.025495
(153793,154292)(153800,154299)(153800,154300)	Mt	154050	501	0.029432
(153893,154392)(153900,154399)(153900,154400)	Mt	154150	501	0.030663
(153993,154492)(154000,154499)(154000,154500)	Mt	154250	501	0.030603
(154093,154592)(154100,154599)(154100,154600)	Mt	154350	501	0.029828
(154193,154692)(154200,154699)(154200,154700)	Mt	154450	501	0.028032
(154293,154792)(154300,154799)(154300,154800)	Mt	154550	501	0.022236
(154393,154892)(154400,154899)(154400,154900)	Mt	154650	501	0.022427
(154493,154992)(154500,154999)(154500,155000)	Mt	154750	501	0.023494
(154593,155092)(154600,155099)(154600,155100)	Mt	154850	501	0.020826
(154693,155192)(154700,155199)(154700,155200)	Mt	154950	501	0.022235
(154793,155292)(154800,155299)(154800,155300)	Mt	155050	501	0.026795
(154893,155392)(154900,155399)(154900,155400)	Mt	155150	501	0.023375
(154993,155492)(155000,155499)(155000,155500)	Mt	155250	501	0.025958
(155093,155592)(155100,155599)(155100,155600)	Mt	155350	501	0.028742
(155193,155692)(155200,155699)(155200,155700)	Mt	155450	501	0.028155
(155293,155792)(155300,155799)(155300,155800)	Mt	155550	501	0.027230
(155393,155892)(155400,155899)(155400,155900)	Mt	155650	501	0.027376
(155493,155992)(155500,155999)(155500,156000)	Mt	155750	501	0.026386
(155593,156092)(155600,156099)(155600,156100)	Mt	155850	501	0.026712
(155693,156192)(155700,156199)(155700,156200)	Mt	155950	501	0.025431
(155793,156292)(155800,156299)(155800,156300)	Mt	156050	501	0.025446
(155893,156392)(155900,156399)(155900,156400)	Mt	156150	501	0.026381
(155993,156492)(156000,156499)(156000,156500)	Mt	156250	501	0.025257
(156093,156592)(156100,156599)(156100,156600)	Mt	156350	501	0.026998
(156193,156692)(156200,156699)(156200,156700)	Mt	156450	501	0.030599
(156293,156792)(156300,156799)(156300,156800)	Mt	156550	501	0.027975
(156393,156892)(156400,156899)(156400,156900)	Mt	156650	501	0.031330
(156493,156992)(156500,156999)(156500,157000)	Mt	156750	501	0.032788
(156593,157092)(156600,157099)(156600,157100)	Mt	156850	501	0.033386
(156693,157192)(156700,157199)(156700,157200)	Mt	156950	501	0.034453
(156793,157292)(156800,157299)(156800,157300)	Mt	157050	501	0.036166
(156893,157392)(156900,157399)(156900,157400)	Mt	157150	501	0.031191
(156993,157492)(157000,157499)(157000,157500)	Mt	157250	501	0.028798
(157093,157592)(157100,157599)(157100,157600)	Mt	157350	501	0.024616
(157193,157692)(157200,157699)(157200,157700)	Mt	157450	501	0.021517
(157293,157792)(157300,157799)(157300,157800)	Mt	157550	501	0.020212
(157393,157892)(157400,157899)(157400,157900)	Mt	157650	501	0.023670
(157493,157992)(157500,157999)(157500,158000)	Mt	157750	501	0.024262
(157593,158092)(157600,158099)(157600,158100)	Mt	157850	501	0.023865
(157693,158192)(157700,158199)(157700,158200)	Mt	157950	501	0.026326
(157793,158292)(157800,158299)(157800,158300)	Mt	158050	501	0.025039
(157893,158392)(157900,158399)(157900,158400)	Mt	158150	501	0.022612
(157993,158492)(158000,158499)(158000,158500)	Mt	158250	501	0.021385
(158093,158592)(158100,158599)(158100,158600)	Mt	158350	501	0.022175
(158193,158692)(158200,158699)(158200,158700)	Mt	158450	501	0.019068
(158293,158792)(158300,158799)(158300,158800)	Mt	158550	501	0.021922
(158393,158892)(158400,158899)(158400,158900)	Mt	158650	501	0.024168
(158493,158992)(158500,158999)(158500,159000)	Mt	158750	501	0.029525
(158593,159092)(158600,159099)(158600,159100)	Mt	158850	501	0.030410
(158693,159192)(158700,159199)(158700,159200)	Mt	158950	501	0.032248
(158793,159292)(158800,159299)(158800,159300)	Mt	159050	501	0.032263
(158893,159392)(158900,159399)(158900,159400)	Mt	159150	501	0.030350
(158993,159492)(159000,159499)(159000,159500)	Mt	159250	501	0.025317
(159093,159592)(159100,159599)(159100,159600)	Mt	159350	501	0.022708
(159193,159692)(159200,159699)(159200,159700)	Mt	159450	501	0.023632
(159293,159792)(159300,159799)(159300,159800)	Mt	159550	501	0.023148
(159393,159892)(159400,159899)(159400,159900)	Mt	159650	501	0.021864
(159493,159992)(159500,159999)(159500,160000)	Mt	159750	501	0.024261
(159593,160092)(159600,160099)(159600,160100)	Mt	159850	501	0.026083
(159693,160192)(159700,160199)(159700,160200)	Mt	159950	501	0.025692
(159793,160292)(159800,160299)(159800,160300)	Mt	160050	501	0.026337
(159893,160392)(159900,160399)(159900,160400)	Mt	160150	501	0.028194
(159993,160492)(160000,160499)(160000,160500)	Mt	160250	501	0.027982
(160093,160592)(160100,160599)(160100,160600)	Mt	160350	501	0.027184
(160193,160692)(160200,160699)(160200,160700)	Mt	160450	501	0.024623
(160293,160792)(160300,160799)(160300,160800)	Mt	160550	501	0.023368
(160393,160892)(160400,160899)(160400,160900)	Mt	160650	501	0.022671
(160493,160992)(160500,160999)(160500,161000)	Mt	160750	501	0.023245
